GapMap_Temporal-to-Parietal;9.0;GapMap_Temporal-to-Parietal_l_N10_nlin2Stdcolin27_9.0_publicDOI_b905d5310ad852b703949b49e349c486.nii.gz
GapMap_Temporal-to-Parietal;9.0;GapMap_Temporal-to-Parietal_r_N10_nlin2Stdcolin27_9.0_publicDOI_c758bc57649670258b8c3c403277da9b.nii.gz
CA1;11.1;CA1_l_N10_nlin2Stdcolin27_11.1_publicP_6a386128df7bcc27ed7846d6e90343ef.nii.gz
CA1;11.1;CA1_r_N10_nlin2Stdcolin27_11.1_publicP_50db79a14155739e1cae0400c2830204.nii.gz
CA2;11.1;CA2_l_N10_nlin2Stdcolin27_11.1_publicP_2009682a77ced7a8751c2a45bd4ecb4b.nii.gz
CA2;11.1;CA2_r_N10_nlin2Stdcolin27_11.1_publicP_6c492fe4c1e74ab19c7e7bce5b20dd7a.nii.gz
CA3;11.1;CA3_l_N10_nlin2Stdcolin27_11.1_publicP_c4e0b9c7874b38c9b4af79a804f21db1.nii.gz
CA3;11.1;CA3_r_N10_nlin2Stdcolin27_11.1_publicP_e22d8c1050ddbe2c117af040bf7ee1cc.nii.gz
DG;11.1;DG_l_N10_nlin2Stdcolin27_11.1_publicP_952042bb5c1c286583728113ed7f0d0d.nii.gz
DG;11.1;DG_r_N10_nlin2Stdcolin27_11.1_publicP_34cfe63e44a3453051e894939f1f9cde.nii.gz
Entorhinal-Cortex;11.1;Entorhinal-Cortex_l_N10_nlin2Stdcolin27_11.1_publicP_1d0d9ccd026bd1f8637e97d7620f09b4.nii.gz
Entorhinal-Cortex;11.1;Entorhinal-Cortex_r_N10_nlin2Stdcolin27_11.1_publicP_73ce326e807f25ef312c950d0b65e147.nii.gz
HATA;11.1;HATA_l_N10_nlin2Stdcolin27_11.1_publicP_efe4e6a4cbb55066fb6c0122a744e823.nii.gz
HATA;11.1;HATA_r_N10_nlin2Stdcolin27_11.1_publicP_3500ac604b91911a4289dd863cd9f7da.nii.gz
Subiculum;11.1;Subiculum_l_N10_nlin2Stdcolin27_11.1_publicP_5f029fc0ccb3d7667652349964784613.nii.gz
Subiculum;11.1;Subiculum_r_N10_nlin2Stdcolin27_11.1_publicP_c2be4cfaa9037426c06b06a437eee0ac.nii.gz
Area-PF;9.4;Area-PF_l_N10_nlin2Stdcolin27_9.4_publicP_74d941df6a0b70295896125e27f1072b.nii.gz
Area-PF;9.4;Area-PF_r_N10_nlin2Stdcolin27_9.4_publicP_d715b06e48a51a04939d084ce5a3d7c1.nii.gz
Area-PFcm;9.4;Area-PFcm_l_N10_nlin2Stdcolin27_9.4_publicP_de6698f167f750bb781dc1d94ac9c428.nii.gz
Area-PFcm;9.4;Area-PFcm_r_N10_nlin2Stdcolin27_9.4_publicP_da886451f173415a44331d3eb80a2386.nii.gz
Area-PFm;9.4;Area-PFm_l_N10_nlin2Stdcolin27_9.4_publicP_e1feae26309f20f208adf341fe5db53f.nii.gz
Area-PFm;9.4;Area-PFm_r_N10_nlin2Stdcolin27_9.4_publicP_99fefc475d6c934e896cb0a5055f8c1b.nii.gz
Area-PFop;9.4;Area-PFop_l_N10_nlin2Stdcolin27_9.4_publicP_9088f650ae3c0cc599550c9ad9e7c2fa.nii.gz
Area-PFop;9.4;Area-PFop_r_N10_nlin2Stdcolin27_9.4_publicP_08ee99acfb5bc508cfbf18685554bd3d.nii.gz
Area-PFt;9.4;Area-PFt_l_N10_nlin2Stdcolin27_9.4_publicP_ae4814e8e10a39f2226cbe0e40d5898d.nii.gz
Area-PFt;9.4;Area-PFt_r_N10_nlin2Stdcolin27_9.4_publicP_fbac57b455b0c33989a35f2201126cb2.nii.gz
Area-PGa;9.4;Area-PGa_l_N10_nlin2Stdcolin27_9.4_publicP_655596fcf8594262ae9c7f305b2b4b30.nii.gz
Area-PGa;9.4;Area-PGa_r_N10_nlin2Stdcolin27_9.4_publicP_4e7ecd6470da24e8ec1545022ba7bf4c.nii.gz
Area-PGp;9.4;Area-PGp_l_N10_nlin2Stdcolin27_9.4_publicP_147e4c8a390add242ab474108811d45e.nii.gz
Area-PGp;9.4;Area-PGp_r_N10_nlin2Stdcolin27_9.4_publicP_43784aadc4d7a4f7f853ed4a09253161.nii.gz
Area-Ia;3.1;Area-Ia_l_N10_nlin2Stdcolin27_3.1_publicDOI_a1dc222eaef902176bb1a87e51cb57a9.nii.gz
Area-Ia;3.1;Area-Ia_r_N10_nlin2Stdcolin27_3.1_publicDOI_75c6474e570337081abb1929e73752a2.nii.gz
Area-Id1;13.1;Area-Id1_l_N10_nlin2Stdcolin27_13.1_publicP_4849992227f5c257e1a9f7666fe1ad7b.nii.gz
Area-Id1;13.1;Area-Id1_r_N10_nlin2Stdcolin27_13.1_publicP_a053eee829eb22d5266c402ad29f98cb.nii.gz
